"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"3104",3104,"eaefeeb9-2647-5495-91d2-4c8488605f7f","student","CSE142",1,1,"CSE143",1,"Deny","M","ASIAN",FALSE,3,3,3,3,5,5,4,4,4,3,3,2,2,3.39,730,NA,NA,2,1,3,1,2.9
"3105",3105,"eafffe13-f722-50af-908e-c965da0b489a","student","CSE142",1,1,"NA143",1,"DNA","M","AFRO-AM",NA,1,4,2,2,5,4,4,5,4,2,2,1,1,2.38,670,650,1320,NA,1,0,NA,NA
"3106",3106,"eb057acf-4d46-5ada-a7c3-a0776c557f33","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,1,4,4,1,5,5,3,5,5,2,2,1,2,2.96,660,700,1360,NA,1,2.5,1,1.7
"3107",3107,"eb0fe2f5-6868-50f3-8090-5c217d141cb9","student","CSE142",3,4,"CSE143",1,"DNA","M","ASIAN",NA,1,4,3,1,3,5,4,5,4,2,1,1,1,2.83,640,580,1220,NA,3,2.7,4,2.2
"3108",3108,"eb1c2123-a63c-55bf-b430-874510f1023a","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,3,2,3,3,NA,5,5,2,4,1,1,3.92,710,800,1510,NA,2,3.3,2,3.5
"3109",3109,"eb1cd4e5-211c-5d80-8ce4-473cc595dd6a","student","CSE142",1,2,"CSE143",1,"DNA","M","ASIAN",NA,2,4,2,2,5,5,4,5,4,3,3,1,1,3.71,710,NA,NA,NA,1,3.5,2,3.3
"3110",3110,"eb28a01e-7956-50db-9d3e-378ec845de50","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,1,4,4,1,3,5,3,4,4,4,3,1,1,3.65,580,660,1240,NA,2,3.4,NA,NA
"3111",3111,"eb2d16be-73dc-53d4-a8fd-fe6152eda9dc","student","CSE142",1,2,"CSE143",2,"Deny","M","NOT IND",FALSE,2,2,1,2,5,5,5,5,4,2,2,1,1,3.46,770,550,1320,4,1,4,2,4
"3112",3112,"eb45c7c8-6f20-516b-8230-4fa04776eb54","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,2,3,2,2,4,1,2,1,3,2,2,1,1,2.61,760,510,1270,NA,1,3.1,NA,NA
"3113",3113,"eb4647af-9e2f-55e0-a574-3f73b675f45c","student","CSE142",1,1,"CSE143",1,"DNA","F","ASIAN",NA,1,3,1,1,5,5,5,5,4,3,1,1,1,3.12,740,540,1280,NA,1,2.7,1,NA
"3114",3114,"eb59a98d-bbee-595c-9dc8-ccb0facb6bea","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,NA,2,1,1,4,4,4,5,4,4,2,1,1,3.38,670,550,1220,NA,1,3,NA,NA
"3115",3115,"eb9e8e28-fd08-5056-873f-c029a715689c","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,3,3,3,2,3,5,2,5,5,2,1,1,1,2.24,530,560,1090,NA,2,3,2,1.5
"3116",3116,"eba245f0-c5d3-55d6-a07f-8122b04426c0","student","CSE142",2,1,"NA143",1,"DNA","F","ASIAN",NA,1,3,3,2,4,3,3,4,4,4,2,2,1,1.81,500,500,1000,NA,2,0,NA,NA
"3117",3117,"ebc731f3-5ac5-59b3-ac2c-84f3a25c4e91","student","CSE142",1,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,4,3,5,4,4,3,3,1,2,3.21,580,740,1320,NA,1,1.8,2,NA
"3118",3118,"ebca7b6c-3788-578a-898e-f1415c54a324","student","CSE142",1,2,"CSE143",2,"Accept","M","ASIAN",NA,2,3,1,1,4,5,2,4,4,2,1,2,1,3.66,770,750,1520,4,1,3.7,2,3.6
"3119",3119,"ebcd7768-52fd-5f37-9e50-7421e35ee561","student","CSE142",1,1,"NA143",1,"DNA","F","ASIAN",NA,2,2,3,1,3,4,4,3,4,2,2,1,1,3.04,700,590,1290,NA,1,2.2,NA,NA
"3120",3120,"ebd53766-1188-567b-a5ef-214d713030e8","student","CSE142",2,1,"NA143",1,"DNA","F","NOT IND",NA,3,2,1,1,4,3,3,5,4,2,2,1,1,2.38,580,600,1180,NA,2,0,NA,NA
"3121",3121,"ebd8ed7d-552d-5c65-9b3b-7d1b8e9f8dea","student","CSE142",1,3,"CSE143",1,"DNA","F","NOT IND",NA,3,2,2,1,4,2,3,4,4,5,4,1,1,3.28,NA,NA,NA,NA,1,3,3,2.6
"3122",3122,"ebd9e2e7-9d2d-52f5-b2a4-0688bdbea70c","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,3,2,2,1,1,5,4,4,3,4,4,2,1,3.34,710,370,1080,NA,1,2.3,NA,NA
